0    (3,1)
1    (2,1)
2    (0,1)
3    (-1,1)
4    (-2,1)
5    (-3,1)
6    (-4,1)
7    (-6,1)
8    (-7,1)
9    (-8,1)
10    (-9,1)
11    (-10,1)
12    (-11,1)
13    (-13,1)
14    (-14,1)
15    (-15,1)
16    (-16,1)
17    (-16,3)
18    (-3,15)
19    (-16,12)
20    (-16,16)
21    (-16,14)
22    (-16,16)
23    (-2,2)
24    (-16,4)
25    (-16,16)
26    (-16,16)
27    (-16,16)
28    (-16,16)
29    (-16,9)
30    (-14,0)
31    (-16,0)
32    (4,2)
33    (3,2)
34    (1,2)
35    (0,1)
36    (-1,2)
37    (-2,2)
38    (-3,2)
39    (-5,2)
40    (-6,2)
41    (-7,2)
42    (-8,2)
43    (-9,2)
44    (-11,2)
45    (-12,2)
46    (-13,2)
47    (-14,2)
48    (-15,2)
49    (-16,2)
50    (-16,2)
51    (-16,5)
52    (-16,12)
53    (-16,16)
54    (-16,16)
55    (-10,-1)
56    (-16,1)
57    (-16,11)
58    (-16,9)
59    (-16,16)
60    (-16,16)
61    (-11,-6)
62    (-15,-16)
63    (-16,-16)
64    (5,3)
65    (4,3)
66    (3,3)
67    (1,3)
68    (0,3)
69    (-1,3)
70    (-3,3)
71    (-4,3)
72    (-5,3)
73    (-6,3)
74    (-7,3)
75    (-9,3)
76    (-10,3)
77    (-11,3)
78    (-13,3)
79    (-14,3)
80    (-15,3)
81    (-16,3)
82    (-16,2)
83    (-16,6)
84    (-16,-6)
85    (-16,7)
86    (-16,9)
87    (-16,10)
88    (-6,0)
89    (-16,-1)
90    (-16,-5)
91    (-16,16)
92    (-16,16)
93    (1,-16)
94    (-16,-14)
95    (-15,-16)
96    (6,3)
97    (5,4)
98    (3,3)
99    (2,4)
100    (1,4)
101    (0,4)
102    (-2,4)
103    (-3,4)
104    (-4,4)
105    (-6,4)
106    (-7,4)
107    (-8,4)
108    (-9,4)
109    (-11,4)
110    (-12,4)
111    (-13,3)
112    (-15,4)
113    (-15,4)
114    (-16,4)
115    (-14,5)
116    (-16,-2)
117    (-16,-4)
118    (15,16)
119    (12,16)
120    (-5,-1)
121    (-6,-8)
122    (-14,-10)
123    (-16,6)
124    (4,-16)
125    (-12,-16)
126    (-15,-16)
127    (-16,-15)
128    (7,4)
129    (6,5)
130    (4,4)
131    (3,4)
132    (2,4)
133    (0,4)
134    (-1,4)
135    (-2,4)
136    (-4,4)
137    (-5,4)
138    (-6,4)
139    (-8,5)
140    (-9,4)
141    (-10,4)
142    (-11,4)
143    (-12,4)
144    (-13,4)
145    (-16,5)
146    (-16,5)
147    (-16,6)
148    (-16,7)
149    (-16,3)
150    (16,1)
151    (-4,-16)
152    (16,-14)
153    (-15,-10)
154    (-9,11)
155    (-16,-5)
156    (-16,-1)
157    (-14,-16)
158    (-16,-16)
159    (-16,-15)
160    (8,5)
161    (7,14)
162    (5,5)
163    (4,5)
164    (3,5)
165    (1,5)
166    (0,5)
167    (-1,5)
168    (-3,5)
169    (-4,5)
170    (-5,5)
171    (-7,5)
172    (-8,5)
173    (-9,5)
174    (-11,5)
175    (-12,5)
176    (-13,5)
177    (-15,5)
178    (-16,5)
179    (-16,7)
180    (-16,8)
181    (-16,9)
182    (16,-15)
183    (16,-6)
184    (-16,16)
